               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051087,            0.051829,            0.011676,             0.58032,             0.49981,             0.52732,             0.23147,            0.064447,            0.043658,            0.014871,           0.0033261,           0.0033261,            0.070065
                   1,            0.049115,            0.057047,            0.015629,             0.61869,             0.49733,             0.52451,             0.29399,            0.049144,            0.050612,            0.020672,           0.0066592,           0.0066592,            0.040065
                   2,            0.047838,            0.063951,            0.021463,             0.56839,             0.44216,             0.45558,             0.25976,            0.047606,            0.055439,            0.023869,           0.0099914,           0.0099914,            0.010063
                   3,            0.046678,            0.065885,            0.022496,             0.62835,             0.50444,             0.53887,             0.33825,            0.043145,            0.049315,            0.019657,           0.0099968,           0.0099968,           0.0099968
                   4,            0.044638,            0.063732,            0.020431,             0.65163,             0.48584,             0.53575,             0.34047,              0.0422,            0.049424,            0.019521,           0.0099968,           0.0099968,           0.0099968
                   5,            0.043817,            0.062974,            0.019723,             0.68549,             0.51006,             0.56868,             0.37129,            0.040625,            0.048163,            0.017854,           0.0099943,           0.0099943,           0.0099943
                   6,            0.043392,            0.063281,            0.019407,             0.65501,             0.53649,             0.57675,             0.37996,            0.040103,            0.048135,            0.017167,           0.0099911,           0.0099911,           0.0099911
                   7,            0.042995,            0.062203,            0.018753,             0.67798,             0.53401,             0.58282,             0.38453,            0.040004,            0.047912,            0.016627,           0.0099872,           0.0099872,           0.0099872
                   8,            0.043236,            0.062068,            0.018868,             0.69248,             0.52981,             0.58649,             0.39274,            0.039238,            0.047667,             0.01635,           0.0099826,           0.0099826,           0.0099826
                   9,            0.043031,            0.062579,            0.018611,             0.67864,             0.54411,             0.59115,             0.39817,            0.039091,            0.047423,            0.016493,           0.0099773,           0.0099773,           0.0099773
                  10,            0.042927,            0.063213,            0.018711,             0.68755,             0.55229,             0.60463,             0.40877,            0.038501,            0.046746,            0.015795,           0.0099713,           0.0099713,           0.0099713
                  11,            0.042968,             0.06238,            0.018703,             0.71197,               0.547,             0.60685,             0.41313,            0.038331,            0.046744,            0.015573,           0.0099645,           0.0099645,           0.0099645
                  12,            0.042945,            0.062175,            0.018441,             0.68231,             0.56802,              0.6128,             0.41668,            0.038111,            0.046638,            0.015477,           0.0099571,           0.0099571,           0.0099571
                  13,            0.042815,            0.062433,            0.018263,             0.69655,             0.56707,              0.6165,             0.42196,            0.037689,            0.046195,            0.014959,           0.0099489,           0.0099489,           0.0099489
                  14,            0.042634,            0.061696,            0.018286,             0.68582,             0.57998,             0.62208,             0.42748,            0.037528,            0.046168,            0.014728,           0.0099401,           0.0099401,           0.0099401
                  15,            0.042597,            0.062071,            0.018223,             0.69829,             0.57229,             0.62795,             0.43351,            0.037148,            0.045753,            0.014442,           0.0099305,           0.0099305,           0.0099305
                  16,             0.04262,            0.061705,            0.018298,             0.69862,             0.58739,             0.63388,             0.43934,            0.036965,            0.045762,            0.014216,           0.0099203,           0.0099203,           0.0099203
                  17,            0.042732,            0.062351,             0.01824,              0.7234,             0.57518,             0.63825,             0.44289,            0.036805,            0.045575,            0.014109,           0.0099093,           0.0099093,           0.0099093
                  18,            0.042703,            0.062371,            0.018143,             0.70999,             0.58923,             0.63988,             0.44499,            0.036661,            0.045589,             0.01388,           0.0098977,           0.0098977,           0.0098977
                  19,            0.042566,            0.061999,            0.018186,             0.72216,             0.58069,             0.63992,             0.44452,            0.036493,            0.045268,             0.01373,           0.0098854,           0.0098854,           0.0098854
                  20,            0.042595,            0.061761,            0.018267,             0.71169,              0.5869,             0.64261,             0.44906,            0.036327,            0.045328,            0.013552,           0.0098723,           0.0098723,           0.0098723
                  21,            0.042298,             0.06175,            0.018007,             0.70999,             0.59958,             0.64932,             0.45333,             0.03613,            0.045109,            0.013442,           0.0098586,           0.0098586,           0.0098586
                  22,            0.042527,            0.061831,            0.018283,             0.72652,              0.5892,             0.64837,             0.45487,            0.036099,            0.045232,            0.013332,           0.0098442,           0.0098442,           0.0098442
                  23,            0.042543,            0.062035,             0.01799,             0.71507,             0.60059,             0.65342,             0.45764,            0.036002,            0.045089,            0.013204,           0.0098291,           0.0098291,           0.0098291
                  24,             0.04245,            0.061755,            0.018103,             0.74277,             0.58838,             0.65472,             0.45859,            0.035916,            0.044999,            0.013056,           0.0098133,           0.0098133,           0.0098133
                  25,            0.042509,            0.062471,            0.018217,             0.73366,             0.59152,             0.65554,             0.46079,            0.035837,             0.04492,            0.013012,           0.0097969,           0.0097969,           0.0097969
                  26,            0.042463,            0.061014,            0.018224,             0.71631,             0.60419,             0.65601,             0.46179,             0.03577,            0.044889,            0.012974,           0.0097798,           0.0097798,           0.0097798
                  27,            0.042308,            0.061688,            0.017849,             0.72813,             0.59882,             0.65754,             0.46376,            0.035674,            0.044822,            0.012898,           0.0097619,           0.0097619,           0.0097619
                  28,            0.042412,            0.061695,             0.01792,             0.70757,             0.61251,             0.65866,             0.46394,            0.035592,            0.044769,             0.01281,           0.0097435,           0.0097435,           0.0097435
                  29,            0.042279,            0.061883,            0.017731,             0.73807,             0.59549,              0.6596,             0.46596,            0.035514,            0.044753,             0.01276,           0.0097243,           0.0097243,           0.0097243
                  30,            0.042303,            0.062118,            0.017948,              0.7243,             0.60753,             0.65935,             0.46624,            0.035513,            0.044787,            0.012738,           0.0097045,           0.0097045,           0.0097045
                  31,            0.042236,            0.061516,            0.017781,             0.72282,             0.60812,             0.66024,              0.4662,            0.035493,            0.044781,            0.012701,            0.009684,            0.009684,            0.009684
                  32,            0.042116,            0.061805,            0.017893,             0.72515,             0.61124,              0.6626,             0.46812,            0.035455,            0.044753,            0.012672,           0.0096628,           0.0096628,           0.0096628
