               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.040489,            0.071718,            0.028754,             0.63104,             0.57443,             0.62281,              0.4055,            0.037438,            0.044826,            0.014705,               7e-05,               7e-05,             0.09937
                   1,            0.043865,            0.064642,            0.040594,             0.66996,             0.53727,             0.61889,             0.40372,            0.037351,            0.044844,            0.014651,          0.00011625,          0.00011625,            0.098616
                   2,            0.040873,             0.07199,            0.038059,             0.67914,              0.5332,             0.61595,             0.40332,            0.037237,             0.04481,            0.014354,           7.475e-05,           7.475e-05,            0.097775
